Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
281,61,0.00040000421057062585,14999842105263.598,0.3316564,6.24405350867842e+21
282,53,0.0012000126317119053,4999947368421.084,0.3316564,1.414099406547548e+22
283,71,0.0008000084211412795,7499921052631.539,0.3316564,1.691817991789788e+22
284,59,0.0006000063158559665,9999894736841.936,0.9570691,8.761979412944337e+21
285,47,0.0006000063158559388,9999894736842.398,0.9512647,5.560244907553331e+21
286,57,0.0004000042105706536,14999842105262.557,0.3199409,5.452010171915505e+21
287,64,0.0008000084211412795,7499921052631.539,0.3199409,1.3746650455010854e+22
288,64,0.0006000063158559388,9999894736842.398,0.9634513,1.0309987841257784e+22
289,73,0.0004000042105706536,14999842105262.557,0.3071853,8.942370639008226e+21
290,52,0.0010000105264265924,5999936842105.272,0.3071853,1.134367151805087e+22
291,71,0.0006000063158559388,9999894736842.398,0.9360291,1.2688634938422972e+22
292,60,0.0004000042105706536,14999842105262.557,0.2993542,6.041008500737402e+21
293,56,0.00040000421057062585,14999842105263.598,0.3023764,5.262389627308661e+21
294,60,0.0008000084211412795,7499921052631.539,0.3023764,1.2082017001474384e+22
295,72,0.00040000421057062585,14999842105263.598,0.2921675,8.699052241061256e+21
296,71,0.0004000042105706536,14999842105262.557,0.2655808,8.459089958949234e+21
297,67,0.0006000063158559388,9999894736842.398,0.9011980,1.1299202983253466e+22
298,54,0.0006000063158559665,9999894736841.936,0.8436735,7.339825328395773e+21
299,71,0.0004000042105706536,14999842105262.557,0.1561364,8.459089958949234e+21
300,68,0.0006000063158559388,9999894736842.398,0.8638069,1.163900971141992e+22
301,65,0.0006000063158559665,9999894736841.936,0.8574691,1.0634692048172888e+22
302,78,0.0010000105264265924,5999936842105.272,0.8574691,2.5523260915614457e+22
303,70,0.0006000063158559388,9999894736842.398,0.8475491,1.2333725689004673e+22
304,61,0.0004000042105706536,14999842105262.557,0.2062164,6.244053508678853e+21
305,72,0.0008000084211412795,7499921052631.539,0.2062164,1.7398104482123113e+22
306,56,0.00040000421057062585,14999842105263.598,0.1930520,5.262389627308661e+21
307,49,0.0008000084211412795,7499921052631.539,0.1930520,8.058034116816666e+21
308,55,0.0008000084211412795,7499921052631.539,0.1930520,1.0152250397072225e+22
309,67,0.00040000421057062585,14999842105263.598,0.1426431,7.532801988835644e+21
310,72,0.0006000063158559665,9999894736841.936,0.7906024,1.3048578361592486e+22
311,54,0.0006000063158559665,9999894736841.936,0.7898958,7.339825328395773e+21
312,56,0.0006000063158559388,9999894736842.398,0.8197669,7.893584440962992e+21
313,62,0.0008000084211412795,7499921052631.539,0.8197669,1.2900909264907648e+22
314,46,0.0008000084211412795,7499921052631.539,0.8197669,7.101541104199944e+21
315,62,0.00040000421057062585,14999842105263.598,0.2486075,6.4504546324536e+21
316,55,0.0006000063158559665,9999894736841.936,0.8934558,7.614187797804257e+21
317,62,0.0006000063158559665,9999894736841.936,0.8598424,9.675681948680847e+21
318,66,0.00040000421057062585,14999842105263.598,0.2190475,7.30962028589175e+21
319,63,0.0008000084211412795,7499921052631.539,0.2190475,1.332042374412551e+22
320,50,0.0006000063158559388,9999894736842.398,0.8683224,6.29271718826769e+21
321,50,0.0006000063158559665,9999894736841.936,0.8776824,6.292717188267982e+21
322,53,0.0006000063158559665,9999894736841.936,0.9201180,7.070497032737903e+21
323,62,0.00040000421057062585,14999842105263.598,0.2635720,6.4504546324536e+21
324,62,0.0008000084211412795,7499921052631.539,0.2635720,1.2900909264907648e+22
325,58,0.00040000421057062585,14999842105263.598,0.3012520,5.644986832355336e+21
326,51,0.0006000063158559665,9999894736841.936,0.9473980,6.546942962674007e+21
327,63,0.0008000084211412795,7499921052631.539,0.9473980,1.332042374412551e+22
328,59,0.0006000063158559665,9999894736841.936,0.9991402,8.761979412944337e+21
329,58,0.00040000421057062585,14999842105263.598,0.3898431,5.644986832355336e+21
330,65,0.00040000421057062585,14999842105263.598,0.3603231,7.089794698781598e+21
331,56,0.0004000042105706536,14999842105262.557,0.3603720,5.262389627309026e+21
332,54,0.00040000421057062585,14999842105263.598,0.3573675,4.893216885596956e+21
333,60,0.0006000063158559665,9999894736841.936,0.9658957,9.061512751105893e+21
334,70,0.0008000084211412795,7499921052631.539,0.9658957,1.6444967585340134e+22
335,77,0.0006000063158559388,9999894736842.398,0.9556024,1.4923808083695655e+22
336,60,0.0008000084211412795,7499921052631.539,0.9556024,1.2082017001474384e+22
337,67,0.0012000126317119053,4999947368421.084,0.9556024,2.2598405966507452e+22
338,62,0.0004000042105706536,14999842105262.557,0.3174964,6.450454632454048e+21
339,65,0.0006000063158559388,9999894736842.398,0.9763135,1.0634692048172398e+22
340,61,0.0004000042105706536,14999842105262.557,0.3483986,6.244053508678853e+21
341,64,0.00040000421057062585,14999842105263.598,0.3370475,6.873325227505189e+21
342,46,0.0004000042105706536,14999842105262.557,0.3209453,3.550770552100095e+21
343,65,0.0008000084211412795,7499921052631.539,0.3209453,1.4179589397563688e+22
344,60,0.0006000063158559388,9999894736842.398,0.9464113,9.061512751105474e+21
345,44,0.0006000063158559665,9999894736841.936,0.9356735,4.873080190594724e+21
346,52,0.00040000421057062585,14999842105263.598,0.2610742,4.5374686072202225e+21
347,53,0.0004000042105706536,14999842105262.557,0.2348786,4.713664688492045e+21
348,49,0.00040000421057062585,14999842105263.598,0.2260164,4.0290170584081933e+21
349,53,0.0004000042105706536,14999842105262.557,0.2191808,4.713664688492045e+21
